Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,
Mantar Enfeksiyonu,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,,
Mantar Enfeksiyonu,kaşıntı,bezeli cilt döküntüleri,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,,
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,,
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,,,,,,,,,,,,,,,,,,,,,,,,,
Alerji,sürekli hapşırmak,titremek,üşümek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,
Alerji,titremek,üşümek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,
Alerji,sürekli hapşırmak,üşümek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,
Alerji,sürekli hapşırmak,titremek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,
Alerji,sürekli hapşırmak,titremek,üşümek,,,,,,,,,,,,,,,,,,,,,,,,,
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,
GERD,karın ağrısı,dildeki ülserler,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,
GERD,karın ağrısı,asitlik,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,
GERD,karın ağrısı,asitlik,dildeki ülserler,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük,,,,,,,,,,,,,,,,,,,,,,,
GERD,asitlik,dildeki ülserler,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,
Kronik Kolestaz,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Kronik Kolestaz,kaşıntı,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Kronik Kolestaz,kaşıntı,kusma,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,,,,,,,,,,,,,,,,,,,,,,
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,
İlaç Reaksiyonu,kaşıntı,karın ağrısı,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,,,,,,,,,,,,,,,,,,,,,,,,
İlaç Reaksiyonu,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,
Peptik Ülser Hastalığı,kusma,iştah kaybı,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,
Peptik Ülser Hastalığı,kusma,hazımsızlık,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,
Peptik Ülser Hastalığı,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,
Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,
Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,
Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı,,,,,,,,,,,,,,,,,,,,,,,
Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,
AIDS,kas erimesi,boğazdaki lekeler,yüksek ateş,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,boğazdaki lekeler,yüksek ateş,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,kas erimesi,yüksek ateş,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,kas erimesi,boğazdaki lekeler,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,kas erimesi,boğazdaki lekeler,yüksek ateş,,,,,,,,,,,,,,,,,,,,,,,,,
Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,
Diyabet,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Diyabet,yorgunluk,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Diyabet,yorgunluk,kilo kaybı,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Diyabet,yorgunluk,kilo kaybı,huzursuzluk,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,bulanık ve bozuk görüş,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,obezite,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,aşırı açlık,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Diyabet,yorgunluk,kilo kaybı,huzursuzluk,rehavet,düzensiz şeker seviyesi,bulanık ve bozuk görüş,obezite,iştah artışı,sık idrara çıkma,,,,,,,,,,,,,,,,,,,
Gastroenterit,kusma,çökmüş gözler,dehidrasyon,ishal,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenterit,çökmüş gözler,dehidrasyon,ishal,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenterit,kusma,dehidrasyon,ishal,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenterit,kusma,çökmüş gözler,ishal,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenterit,kusma,çökmüş gözler,dehidrasyon,,,,,,,,,,,,,,,,,,,,,,,,,
Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü,sümüklü balgam,,,,,,,,,,,,,,,,,,,,,,
