Department,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,bezeli cilt döküntüleri,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Alerji,sürekli hapşırmak,titremek,üşümek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Alerji,titremek,üşümek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Alerji,sürekli hapşırmak,üşümek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Alerji,sürekli hapşırmak,titremek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Alerji,sürekli hapşırmak,titremek,üşümek,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,GERD,karın ağrısı,dildeki ülserler,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,GERD,karın ağrısı,asitlik,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,GERD,karın ağrısı,asitlik,dildeki ülserler,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,GERD,asitlik,dildeki ülserler,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Kronik Kolestaz,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Kronik Kolestaz,kaşıntı,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İlaç Reaksiyonu,kaşıntı,karın ağrısı,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İlaç Reaksiyonu,kaşıntı,deri döküntüsü,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İlaç Reaksiyonu,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,iştah kaybı,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,hazımsızlık,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Peptik Ülser Hastalığı,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı,iç kaşıntı,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,AIDS,kas erimesi,boğazdaki lekeler,yüksek ateş,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,AIDS,boğazdaki lekeler,yüksek ateş,evlilik dışı ilişkiler,,,,,,,,,,,,,,,,,,,,,,,,,
