Department,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28,text
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Mantar Enfeksiyonu. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kaşıntı, deri döküntüsü, bezeli cilt döküntüleri, diskromik yamalar."
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Mantar Enfeksiyonu. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: deri döküntüsü, bezeli cilt döküntüleri, diskromik yamalar."
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,bezeli cilt döküntüleri,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Mantar Enfeksiyonu. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kaşıntı, bezeli cilt döküntüleri, diskromik yamalar."
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,diskromik yamalar,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Mantar Enfeksiyonu. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kaşıntı, deri döküntüsü, diskromik yamalar."
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Mantar Enfeksiyonu. Bölüm: Enfeksiyon Hastalıkları. Belirtiler: kaşıntı, deri döküntüsü, bezeli cilt döküntüleri."
Genel Dahiliye,Alerji,sürekli hapşırmak,titremek,üşümek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alerji. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, titremek, üşümek, gözlerde sulanma."
Genel Dahiliye,Alerji,titremek,üşümek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alerji. Bölüm: Genel Dahiliye. Belirtiler: titremek, üşümek, gözlerde sulanma."
Genel Dahiliye,Alerji,sürekli hapşırmak,üşümek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alerji. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, üşümek, gözlerde sulanma."
Genel Dahiliye,Alerji,sürekli hapşırmak,titremek,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alerji. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, titremek, gözlerde sulanma."
Genel Dahiliye,Alerji,sürekli hapşırmak,titremek,üşümek,,,,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: Alerji. Bölüm: Genel Dahiliye. Belirtiler: sürekli hapşırmak, titremek, üşümek."
Genel Dahiliye,GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,"Hastalık: GERD. Bölüm: Genel Dahiliye. Belirtiler: karın ağrısı, asitlik, dildeki ülserler, kusma, öksürük, göğüs ağrısı."
